"comparison","family","group_var","reference","contrast","sample_ids","adjust_vars","n_reference","n_contrast","level"
"Hydrolysate_D90_vs_D30","time_within_hydro_group","timepoint","D30","D90","Y1.1t30,Y1.1t90,Y1.2t30,Y1.2t90,Y1.3t30,Y1.3t90,Y1.4t30,Y1.4t90,Y1.5t30,Y1.5t90,Y2.1t30,Y2.1t90,Y2.2t30,Y2.2t90,Y2.3t30,Y2.3t90,Y2.4t30,Y2.4t90,Y2.5t30,Y2.5t90,Y3.1t30,Y3.1t90,Y3.2t30,Y3.2t90,Y3.3t30,Y3.3t90,Y3.4t30,Y3.4t90,Y3.5t30,Y3.5t90,Z1.1t30,Z1.1t90,Z1.2t30,Z1.2t90,Z1.3t30,Z1.3t90,Z1.4t30,Z1.4t90,Z1.5t30,Z2.1t90,Z2.2t30,Z2.2t90,Z2.3t30,Z2.3t90,Z2.4t30,Z2.4t90,Z2.5t30,Z2.5t90,Z3.1t30,Z3.1t90,Z3.2t30,Z3.2t90,Z3.3t30,Z3.3t90,Z3.4t30,Z3.4t90,Z3.5t30,Z3.5t90","",29,29,"asv"
"global_Hydrolysate_vs_Ctrl","global_hydro_adjusted_time","hydro_group","Ctrl","Hydrolysate","X1.1t30,X1.1t7,X1.1t90,X1.2t30,X1.2t7,X1.2t90,X1.3t30,X1.3t7,X1.3t90,X1.4t30,X1.4t7,X1.4t90,X1.5t30,X1.5t7,X1.5t90,X2.1t30,X2.1t7,X2.1t90,X2.2t30,X2.2t7,X2.2t90,X2.3t30,X2.3t7,X2.3t90,X2.4t30,X2.4t7,X2.4t90,X2.5t30,X2.5t7,X2.5t90,X3.1t30,X3.1t7,X3.1t90,X3.2t30,X3.2t7,X3.2t90,X3.3t30,X3.3t7,X3.3t90,X3.4t30,X3.4t7,X3.4t90,X3.5t30,X3.5t7,X3.5t90,Y1.1t30,Y1.1t7,Y1.1t90,Y1.2t30,Y1.2t7,Y1.2t90,Y1.3t30,Y1.3t7,Y1.3t90,Y1.4t30,Y1.4t7,Y1.4t90,Y1.5t30,Y1.5t7,Y1.5t90,Y2.1t30,Y2.1t7,Y2.1t90,Y2.2t30,Y2.2t7,Y2.2t90,Y2.3t30,Y2.3t7,Y2.3t90,Y2.4t30,Y2.4t7,Y2.4t90,Y2.5t30,Y2.5t7,Y2.5t90,Y3.1t30,Y3.1t7,Y3.1t90,Y3.2t30,Y3.2t7,Y3.2t90,Y3.3t30,Y3.3t7,Y3.3t90,Y3.4t30,Y3.4t7,Y3.4t90,Y3.5t30,Y3.5t7,Y3.5t90,Z1.1t30,Z1.1t7,Z1.1t90,Z1.2t30,Z1.2t7,Z1.2t90,Z1.3t30,Z1.3t7,Z1.3t90,Z1.4t30,Z1.4t7,Z1.4t90,Z1.5t30,Z1.5t7,Z2.1t7,Z2.1t90,Z2.2t30,Z2.2t7,Z2.2t90,Z2.3t30,Z2.3t7,Z2.3t90,Z2.4t30,Z2.4t7,Z2.4t90,Z2.5t30,Z2.5t7,Z2.5t90,Z3.1t30,Z3.1t7,Z3.1t90,Z3.2t30,Z3.2t7,Z3.2t90,Z3.3t30,Z3.3t7,Z3.3t90,Z3.4t30,Z3.4t7,Z3.4t90,Z3.5t30,Z3.5t7,Z3.5t90","timepoint",45,88,"genus"
"global_BL15_vs_Ctrl","global_diet_adjusted_time","diet_code","Ctrl","BL15","X1.1t30,X1.1t7,X1.1t90,X1.2t30,X1.2t7,X1.2t90,X1.3t30,X1.3t7,X1.3t90,X1.4t30,X1.4t7,X1.4t90,X1.5t30,X1.5t7,X1.5t90,X2.1t30,X2.1t7,X2.1t90,X2.2t30,X2.2t7,X2.2t90,X2.3t30,X2.3t7,X2.3t90,X2.4t30,X2.4t7,X2.4t90,X2.5t30,X2.5t7,X2.5t90,X3.1t30,X3.1t7,X3.1t90,X3.2t30,X3.2t7,X3.2t90,X3.3t30,X3.3t7,X3.3t90,X3.4t30,X3.4t7,X3.4t90,X3.5t30,X3.5t7,X3.5t90,Y1.1t30,Y1.1t7,Y1.1t90,Y1.2t30,Y1.2t7,Y1.2t90,Y1.3t30,Y1.3t7,Y1.3t90,Y1.4t30,Y1.4t7,Y1.4t90,Y1.5t30,Y1.5t7,Y1.5t90,Y2.1t30,Y2.1t7,Y2.1t90,Y2.2t30,Y2.2t7,Y2.2t90,Y2.3t30,Y2.3t7,Y2.3t90,Y2.4t30,Y2.4t7,Y2.4t90,Y2.5t30,Y2.5t7,Y2.5t90,Y3.1t30,Y3.1t7,Y3.1t90,Y3.2t30,Y3.2t7,Y3.2t90,Y3.3t30,Y3.3t7,Y3.3t90,Y3.4t30,Y3.4t7,Y3.4t90,Y3.5t30,Y3.5t7,Y3.5t90","timepoint",45,45,"genus"
"global_BL30_vs_Ctrl","global_diet_adjusted_time","diet_code","Ctrl","BL30","X1.1t30,X1.1t7,X1.1t90,X1.2t30,X1.2t7,X1.2t90,X1.3t30,X1.3t7,X1.3t90,X1.4t30,X1.4t7,X1.4t90,X1.5t30,X1.5t7,X1.5t90,X2.1t30,X2.1t7,X2.1t90,X2.2t30,X2.2t7,X2.2t90,X2.3t30,X2.3t7,X2.3t90,X2.4t30,X2.4t7,X2.4t90,X2.5t30,X2.5t7,X2.5t90,X3.1t30,X3.1t7,X3.1t90,X3.2t30,X3.2t7,X3.2t90,X3.3t30,X3.3t7,X3.3t90,X3.4t30,X3.4t7,X3.4t90,X3.5t30,X3.5t7,X3.5t90,Z1.1t30,Z1.1t7,Z1.1t90,Z1.2t30,Z1.2t7,Z1.2t90,Z1.3t30,Z1.3t7,Z1.3t90,Z1.4t30,Z1.4t7,Z1.4t90,Z1.5t30,Z1.5t7,Z2.1t7,Z2.1t90,Z2.2t30,Z2.2t7,Z2.2t90,Z2.3t30,Z2.3t7,Z2.3t90,Z2.4t30,Z2.4t7,Z2.4t90,Z2.5t30,Z2.5t7,Z2.5t90,Z3.1t30,Z3.1t7,Z3.1t90,Z3.2t30,Z3.2t7,Z3.2t90,Z3.3t30,Z3.3t7,Z3.3t90,Z3.4t30,Z3.4t7,Z3.4t90,Z3.5t30,Z3.5t7,Z3.5t90","timepoint",45,43,"genus"
"global_BL30_vs_BL15","global_diet_adjusted_time","diet_code","BL15","BL30","Y1.1t30,Y1.1t7,Y1.1t90,Y1.2t30,Y1.2t7,Y1.2t90,Y1.3t30,Y1.3t7,Y1.3t90,Y1.4t30,Y1.4t7,Y1.4t90,Y1.5t30,Y1.5t7,Y1.5t90,Y2.1t30,Y2.1t7,Y2.1t90,Y2.2t30,Y2.2t7,Y2.2t90,Y2.3t30,Y2.3t7,Y2.3t90,Y2.4t30,Y2.4t7,Y2.4t90,Y2.5t30,Y2.5t7,Y2.5t90,Y3.1t30,Y3.1t7,Y3.1t90,Y3.2t30,Y3.2t7,Y3.2t90,Y3.3t30,Y3.3t7,Y3.3t90,Y3.4t30,Y3.4t7,Y3.4t90,Y3.5t30,Y3.5t7,Y3.5t90,Z1.1t30,Z1.1t7,Z1.1t90,Z1.2t30,Z1.2t7,Z1.2t90,Z1.3t30,Z1.3t7,Z1.3t90,Z1.4t30,Z1.4t7,Z1.4t90,Z1.5t30,Z1.5t7,Z2.1t7,Z2.1t90,Z2.2t30,Z2.2t7,Z2.2t90,Z2.3t30,Z2.3t7,Z2.3t90,Z2.4t30,Z2.4t7,Z2.4t90,Z2.5t30,Z2.5t7,Z2.5t90,Z3.1t30,Z3.1t7,Z3.1t90,Z3.2t30,Z3.2t7,Z3.2t90,Z3.3t30,Z3.3t7,Z3.3t90,Z3.4t30,Z3.4t7,Z3.4t90,Z3.5t30,Z3.5t7,Z3.5t90","timepoint",45,43,"genus"
"t7_Hydrolysate_vs_Ctrl","hydro_by_time","hydro_group","Ctrl","Hydrolysate","X1.1t7,X1.2t7,X1.3t7,X1.4t7,X1.5t7,X2.1t7,X2.2t7,X2.3t7,X2.4t7,X2.5t7,X3.1t7,X3.2t7,X3.3t7,X3.4t7,X3.5t7,Y1.1t7,Y1.2t7,Y1.3t7,Y1.4t7,Y1.5t7,Y2.1t7,Y2.2t7,Y2.3t7,Y2.4t7,Y2.5t7,Y3.1t7,Y3.2t7,Y3.3t7,Y3.4t7,Y3.5t7,Z1.1t7,Z1.2t7,Z1.3t7,Z1.4t7,Z1.5t7,Z2.1t7,Z2.2t7,Z2.3t7,Z2.4t7,Z2.5t7,Z3.1t7,Z3.2t7,Z3.3t7,Z3.4t7,Z3.5t7","",15,30,"genus"
"t7_BL15_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL15","X1.1t7,X1.2t7,X1.3t7,X1.4t7,X1.5t7,X2.1t7,X2.2t7,X2.3t7,X2.4t7,X2.5t7,X3.1t7,X3.2t7,X3.3t7,X3.4t7,X3.5t7,Y1.1t7,Y1.2t7,Y1.3t7,Y1.4t7,Y1.5t7,Y2.1t7,Y2.2t7,Y2.3t7,Y2.4t7,Y2.5t7,Y3.1t7,Y3.2t7,Y3.3t7,Y3.4t7,Y3.5t7","",15,15,"genus"
"t7_BL30_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL30","X1.1t7,X1.2t7,X1.3t7,X1.4t7,X1.5t7,X2.1t7,X2.2t7,X2.3t7,X2.4t7,X2.5t7,X3.1t7,X3.2t7,X3.3t7,X3.4t7,X3.5t7,Z1.1t7,Z1.2t7,Z1.3t7,Z1.4t7,Z1.5t7,Z2.1t7,Z2.2t7,Z2.3t7,Z2.4t7,Z2.5t7,Z3.1t7,Z3.2t7,Z3.3t7,Z3.4t7,Z3.5t7","",15,15,"genus"
"t7_BL30_vs_BL15","diet_by_time","diet_code","BL15","BL30","Y1.1t7,Y1.2t7,Y1.3t7,Y1.4t7,Y1.5t7,Y2.1t7,Y2.2t7,Y2.3t7,Y2.4t7,Y2.5t7,Y3.1t7,Y3.2t7,Y3.3t7,Y3.4t7,Y3.5t7,Z1.1t7,Z1.2t7,Z1.3t7,Z1.4t7,Z1.5t7,Z2.1t7,Z2.2t7,Z2.3t7,Z2.4t7,Z2.5t7,Z3.1t7,Z3.2t7,Z3.3t7,Z3.4t7,Z3.5t7","",15,15,"genus"
"t30_Hydrolysate_vs_Ctrl","hydro_by_time","hydro_group","Ctrl","Hydrolysate","X1.1t30,X1.2t30,X1.3t30,X1.4t30,X1.5t30,X2.1t30,X2.2t30,X2.3t30,X2.4t30,X2.5t30,X3.1t30,X3.2t30,X3.3t30,X3.4t30,X3.5t30,Y1.1t30,Y1.2t30,Y1.3t30,Y1.4t30,Y1.5t30,Y2.1t30,Y2.2t30,Y2.3t30,Y2.4t30,Y2.5t30,Y3.1t30,Y3.2t30,Y3.3t30,Y3.4t30,Y3.5t30,Z1.1t30,Z1.2t30,Z1.3t30,Z1.4t30,Z1.5t30,Z2.2t30,Z2.3t30,Z2.4t30,Z2.5t30,Z3.1t30,Z3.2t30,Z3.3t30,Z3.4t30,Z3.5t30","",15,29,"genus"
"t30_BL15_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL15","X1.1t30,X1.2t30,X1.3t30,X1.4t30,X1.5t30,X2.1t30,X2.2t30,X2.3t30,X2.4t30,X2.5t30,X3.1t30,X3.2t30,X3.3t30,X3.4t30,X3.5t30,Y1.1t30,Y1.2t30,Y1.3t30,Y1.4t30,Y1.5t30,Y2.1t30,Y2.2t30,Y2.3t30,Y2.4t30,Y2.5t30,Y3.1t30,Y3.2t30,Y3.3t30,Y3.4t30,Y3.5t30","",15,15,"genus"
"t30_BL30_vs_Ctrl","diet_by_time","diet_code","Ctrl","BL30","X1.1t30,X1.2t30,X1.3t30,X1.4t30,X1.5t30,X2.1t30,X2.2t30,X2.3t30,X2.4t30,X2.5t30,X3.1t30,X3.2t30,X3.3t30,X3.4t30,X3.5t30,Z1.1t30,Z1.2t30,Z1.3t30,Z1.4t30,Z1.5t30,Z2.2t30,Z2.3t30,Z2.4t30,Z2.5t30,Z3.1t30,Z3.2t30,Z3.3t30,Z3.4t30,Z3.5t30","",15,14,"genus"
"t30_BL30_vs_BL15","diet_by_time","diet_code","BL15","BL30","Y1.1t30,Y1.2t30,Y1.3t30,Y1.4t30,Y1.5t30,Y2.1t30,Y2.2t30,Y2.3t30,Y2.4t30,Y2.5t30,Y3.1t30,Y3.2t30,Y3.3t30,Y3.4t30,Y3.5t30,Z1.1t30,Z1.2t30,Z1.3t30,Z1.4t30,Z1.5t30,Z2.2t30,Z2.3t30,Z2.4t30,Z2.5t30,Z3.1t30,Z3.2t30,Z3.3t30,Z3.4t30,Z3.5t30","",15,14,"genus"
